KANJI	FURIGANA	PART OF SPEECH
出口	でぐち	Noun
お皿	おさら	Noun
此処	ここ	Pronoun
前	まえ	Noun
もう	もう	Adverb (fukushi)
如何	どう	Adverb (fukushi)
方	かた	Noun
未だ	まだ	Adverb (fukushi)
もっと	もっと	Adverb (fukushi)
何時	いつ	Pronoun
パーティー	パーティー	Noun
他	ほか	"Noun, Noun which may take the genitive case particle 'no'"
次	つぎ	"Noun, Noun which may take the genitive case particle 'no'"
ドア	ドア	Noun
何方	どちら	Pronoun
誰か	だれか	Pronoun
開く	あく	"Godan verb with ku ending, Intransitive verb"
どうぞ	どうぞ	Adverb (fukushi)
こんな	こんな	Pre-noun adjectival (rentaishi)
下	した	Noun
而して	そして	Conjunction
ゆっくり	ゆっくり	"Adverb (fukushi), Adverb taking the 'to' particle, Suru verb"
さあ	さあ	Other forms
どうも	どうも	Adverb (fukushi)
じゃあ	じゃあ	Conjunction
其れから	それから	"Expressions (phrases, clauses, etc.)"
ええ	ええ	Noun or verb acting prenominally
ノート	ノート	Noun
釦	ボタン	Noun
デパート	デパート	Noun
トイレ	トイレ	Noun
それでは	それでは	Conjunction
明後日	あさって	"Noun, Adverb (fukushi)"
何れ	どれ	Pronoun
２０歳	はたち	Noun
彼方	あちら	Pronoun
では	では	Conjunction
フィルム	フィルム	Noun
温い	ぬるい	I-adjective (keiyoushi)
カレンダー	カレンダー	Noun
４日	よっか	Noun
７日	なのか	Noun
然うして	そうして	Conjunction
瓦	グラム	Noun
瓩	キログラム	Noun
直ぐに	すぐに	Adverb (fukushi)
一月	ひとつき	Noun
あの	あの	Other forms
秋	あき	"Noun, Adverb (fukushi)"
字引	じびき	Noun
咖哩	カレー	Noun
バス	バス	Noun
三	サン	Numeric
コート	コート	Noun
洋杯	コップ	Noun
フォーク	フォーク	Noun
ラジカセ	ラジカセ	Noun
マッチ	マッチ	Noun
ＰＥＴ		Noun
